,Country_Region,ConfirmedCases,continent,population,density
141,Saint Lucia,18.0,Americas,182790,296.74
142,Saint Vincent and the Grenadines,17.0,Americas,110589,284.29
143,San Marino,652.0,Europe,33860,555.08
144,Sao Tome and Principe,235.0,Africa,211028,210.82
145,Saudi Arabia,49176.0,Asia,34268528,15.94
146,Senegal,2310.0,Africa,16296364,82.84
147,Serbia,10438.0,Europe,8772235,99.28
148,Seychelles,11.0,Africa,97739,216.24
149,Sierra Leone,447.0,Africa,7092113,98.86
150,Singapore,26891.0,Asia,5804337,8106.62
151,Slovakia,1480.0,Europe,5457013,111.28
152,Slovenia,1465.0,Europe,2078654,102.53
153,Somalia,1284.0,Africa,15442905,24.22
154,South Africa,13524.0,Africa,58558270,47.96
155,South Sudan,236.0,Africa,10975927,17.71
156,Spain,230183.0,Europe,46736776,92.37
157,Sri Lanka,935.0,Asia,21323733,325.01
158,Sudan,1964.0,Africa,42813238,23.0
159,Suriname,10.0,Americas,581372,3.55
160,Sweden,29207.0,Europe,10036379,22.29
161,Switzerland,30514.0,Europe,8591365,208.1
162,Syria,50.0,Asia,17070135,92.18
163,Taiwan*,440.0,Asia,23773876,656.86
164,Tanzania,509.0,Africa,58005463,61.38
165,Thailand,3025.0,Asia,69037513,134.54
166,Timor-Leste,24.0,Asia,1293119,86.68
167,Togo,263.0,Africa,8082366,142.33
168,Trinidad and Tobago,116.0,Americas,1394973,271.92
169,Tunisia,1035.0,Africa,11694719,71.48
170,Turkey,146457.0,Asia,83429615,106.47
171,US,1442653.0,Americas,660004393,7772.279999999997
172,Uganda,203.0,Africa,44269594,183.27
173,Ukraine,17330.0,Europe,43993638,72.9
174,United Arab Emirates,21831.0,Asia,9770529,116.87
175,United Kingdom,238004.0,Europe,68041425,8535.359999999999
176,Uruguay,732.0,Americas,3461734,19.64
177,Uzbekistan,2686.0,Asia,32981716,73.72
178,Venezuela,459.0,Americas,28515829,31.12
179,Vietnam,314.0,Asia,96462106,291.24
180,West Bank and Gaza,375.0,Asia,5190143,862.15
181,Western Sahara,6.0,Africa,567402,2.13
182,Zambia,654.0,Africa,17861030,23.73
183,Zimbabwe,42.0,Africa,14645468,37.48
