,Country_Region,ConfirmedCases,Fatalities,lat,lon,continent,population,area,density
42,Croatia,2222.0,95.0,45.1,15.2,Europe,4130304,56594,72.98
43,Cuba,1840.0,79.0,22.0,-80.0,Americas,11333483,109884,103.14
44,Cyprus,910.0,17.0,35.1264,33.4299,Asia,1179551,9251,127.51
45,Czechia,8406.0,295.0,49.8175,15.473,Europe,10689209,78865,135.54
46,Denmark,10989.0,537.0,61.8926,-6.9118,Europe,5879651,2210579,170.98
47,Diamond Princess,712.0,13.0,0.0,0.0,Oceania,3711,1,3711.0
48,Djibouti,1309.0,4.0,11.8251,42.5903,Africa,973560,23200,41.96
49,Dominica,16.0,0.0,15.415,-61.371,Americas,71808,751,95.62
50,Dominican Republic,11739.0,424.0,18.7357,-70.1627,Americas,10738958,48671,220.64
51,Ecuador,31467.0,2594.0,-1.8312,-78.1834,Americas,17373662,276841,62.76
52,Egypt,11228.0,592.0,26.0,30.0,Africa,100388073,1002450,100.14
53,El Salvador,1210.0,25.0,13.7942,-88.8965,Americas,6453553,21041,306.71
54,Equatorial Guinea,594.0,7.0,1.5,10.0,Africa,1355986,28051,48.34
55,Eritrea,39.0,0.0,15.1794,39.7823,Africa,3497117,117600,29.74
56,Estonia,1766.0,63.0,58.5953,25.0136,Europe,1325648,45227,29.31
57,Eswatini,190.0,2.0,-26.5225,31.4659,Africa,1148130,17364,66.12
58,Ethiopia,287.0,5.0,9.145,40.4897,Africa,112078730,1104300,101.49
59,Fiji,18.0,0.0,-17.7134,178.065,Oceania,889953,18272,48.71
60,Finland,6228.0,293.0,64.0,26.0,Europe,5532156,338424,16.35
61,France,179630.0,27532.0,3.9339,-53.1258,Europe,67919979,752910,3671.4099999999994
62,Gabon,1209.0,10.0,-0.8037,11.6094,Africa,2172579,267668,8.12
63,Gambia,23.0,1.0,13.4432,-15.3101,Africa,2347706,11295,207.85
64,Georgia,671.0,12.0,42.3154,43.3569,Asia,3996765,69700,57.34
65,Germany,175233.0,7897.0,51.0,9.0,Europe,83517045,357114,233.87
66,Ghana,5638.0,28.0,7.9465,-1.0232,Africa,28833629,238533,120.88
67,Greece,2810.0,160.0,39.0742,21.8243,Europe,10473455,131957,79.37
68,Grenada,22.0,0.0,12.1165,-61.679,Americas,112003,344,325.59
69,Guatemala,1643.0,30.0,15.7835,-90.2308,Americas,17581472,108889,161.46
70,Guinea,2473.0,15.0,9.9456,-9.6966,Africa,12771246,245857,51.95
71,Guinea-Bissau,913.0,3.0,11.8037,-15.1804,Africa,1920922,36125,53.17
72,Guyana,116.0,10.0,5.0,-58.75,Americas,782766,214969,3.64
73,Haiti,310.0,20.0,18.9712,-72.2852,Americas,11263770,27750,405.9
74,Holy See,12.0,0.0,41.9029,12.4534,Europe,799,0,1815.91
75,Honduras,2460.0,134.0,15.2,-86.2419,Americas,9746117,112492,86.64
76,Hungary,3417.0,442.0,47.1625,19.5033,Europe,9684679,93028,104.1
77,Iceland,1802.0,10.0,64.9631,-19.0208,Europe,339031,103000,3.29
78,India,85784.0,2753.0,21.0,78.0,Asia,1366417754,3287263,415.67
79,Indonesia,16496.0,1076.0,-0.7893,113.9213,Asia,270625568,1910931,141.62
80,Iran,116635.0,6902.0,32.0,53.0,Asia,82913906,1648195,50.31
81,Iraq,3193.0,117.0,33.0,44.0,Asia,39309783,438317,89.68
82,Ireland,23956.0,1518.0,53.1424,-7.6921,Europe,4882495,70273,69.48
83,Israel,16589.0,266.0,31.0,35.0,Asia,8519377,20770,410.18
84,Italy,223885.0,31610.0,43.0,12.0,Europe,60550075,301339,200.94
85,Jamaica,511.0,9.0,18.1096,-77.2975,Americas,2948279,10991,268.24
86,Japan,16203.0,713.0,36.0,138.0,Asia,126860301,377975,335.63
87,Jordan,596.0,9.0,31.24,36.51,Asia,10101694,89342,113.07
88,Kazakhstan,5689.0,34.0,48.0196,66.9237,Asia,18551427,2724900,6.81
89,Kenya,781.0,45.0,-0.0236,37.9062,Africa,52573973,580367,90.59
90,"Korea, South",11037.0,262.0,36.0,128.0,Asia,51225308,100210,511.18
91,Kosovo,944.0,29.0,42.6026,20.903,Europe,1810463,10887,166.3
92,Kuwait,12860.0,96.0,29.5,47.75,Asia,4207083,17818,236.11
93,Kyrgyzstan,1111.0,14.0,41.2044,74.7661,Asia,6415850,199951,32.09
94,Laos,19.0,0.0,19.8563,102.4955,Asia,7169455,236800,30.28
95,Latvia,970.0,19.0,56.8796,24.6032,Europe,1906743,64559,29.53
96,Lebanon,891.0,26.0,33.8547,35.8623,Asia,6855713,10452,655.92
97,Liberia,219.0,20.0,6.4281,-9.4295,Africa,4937374,111369,44.33
98,Libya,64.0,3.0,26.3351,17.2283,Africa,6777452,1759540,3.85
99,Liechtenstein,82.0,1.0,47.14,9.55,Europe,38019,160,237.62
100,Lithuania,1523.0,54.0,55.1694,23.8813,Europe,2759627,65300,42.26
101,Luxembourg,3923.0,104.0,49.8153,6.1296,Europe,615729,2586,238.1
102,MS Zaandam,9.0,2.0,0.0,0.0,Oceania,1045,1,1045.0
103,Madagascar,238.0,0.0,-18.7669,46.8691,Africa,26969307,587041,45.94
104,Malawi,63.0,3.0,-13.2543,34.3015,Africa,17563749,118484,148.24
105,Malaysia,6855.0,112.0,2.5,112.5,Asia,31949777,330803,96.58
106,Maldives,1031.0,4.0,3.2028,73.2207,Asia,530953,300,1769.84
107,Mali,806.0,46.0,17.5707,-3.9962,Africa,19658031,1240192,15.85
108,Malta,532.0,6.0,35.9375,14.3754,Europe,440372,316,1393.58
109,Mauritania,29.0,3.0,21.0079,10.9408,Africa,4525696,1030700,4.39
110,Mauritius,332.0,10.0,-20.2,57.5,Africa,1198575,2040,587.54
111,Mexico,45032.0,4767.0,23.6345,-102.5528,Americas,127575529,1964375,64.94
112,Moldova,5745.0,202.0,47.4116,28.3699,Europe,4043263,33846,119.46
113,Monaco,96.0,4.0,43.7333,7.4167,Europe,38964,2,19289.11
114,Mongolia,98.0,0.0,46.8625,103.8467,Asia,3225167,1564110,2.06
115,Montenegro,324.0,9.0,42.5,19.3,Europe,627987,13812,45.47
116,Morocco,6652.0,190.0,31.7917,-7.0926,Africa,36471769,446550,81.67
117,Mozambique,119.0,0.0,-18.6657,35.5296,Africa,30366036,801590,37.88
118,Namibia,16.0,0.0,-22.9576,18.4904,Africa,2494530,825615,3.02
119,Nepal,267.0,0.0,28.1667,84.25,Asia,28608710,147181,194.38
120,Netherlands,43880.0,5662.0,12.5186,-70.0358,Europe,17434747,42836,2686.7
121,New Zealand,1498.0,21.0,-40.9006,174.886,Oceania,4783063,270467,17.68
122,Nicaragua,25.0,8.0,12.8654,-85.2072,Americas,6545502,130373,50.21
123,Niger,885.0,51.0,17.6078,8.0817,Africa,23310715,1267000,18.4
124,Nigeria,5450.0,171.0,9.082,8.6753,Africa,200963599,923768,217.55
125,North Macedonia,1740.0,97.0,41.6086,21.7453,Europe,2083459,25713,81.03
126,Norway,8219.0,232.0,60.472,8.4689,Europe,5378857,323802,16.61
127,Oman,4625.0,20.0,21.0,57.0,Asia,4974986,309500,16.07
128,Pakistan,38799.0,834.0,30.3753,69.3451,Asia,216565318,907132,238.74
129,Panama,9268.0,266.0,8.538,-80.7821,Americas,4246439,75417,56.31
130,Papua New Guinea,8.0,0.0,-6.315,143.9555,Oceania,8776109,462840,18.96
131,Paraguay,759.0,11.0,-23.4425,-58.4438,Americas,7044636,406752,17.32
132,Peru,84495.0,2392.0,-9.19,-75.0152,Americas,32510453,1285216,25.3
133,Philippines,12091.0,806.0,13.0,122.0,Asia,108116615,300000,360.39
134,Poland,18016.0,907.0,51.9194,19.1451,Europe,37887768,312696,121.16
135,Portugal,28583.0,1190.0,39.3999,-8.2245,Europe,10226187,92090,111.05
136,Qatar,29425.0,14.0,25.3548,51.1839,Asia,2832067,11586,244.44
137,Romania,16437.0,1070.0,45.9432,24.9668,Europe,19364557,238397,81.23
138,Russia,262843.0,2418.0,60.0,90.0,Europe,145872256,17098246,8.53
139,Rwanda,287.0,0.0,-1.9403,29.8739,Africa,12626950,26338,479.42
140,Saint Kitts and Nevis,15.0,0.0,17.3578,-62.783,Americas,52823,261,202.39
141,Saint Lucia,18.0,0.0,13.9094,-60.9789,Americas,182790,616,296.74
142,Saint Vincent and the Grenadines,17.0,0.0,12.9843,-61.2872,Americas,110589,389,284.29
143,San Marino,652.0,41.0,43.9424,12.4578,Europe,33860,61,555.08
144,Sao Tome and Principe,235.0,7.0,0.1864,6.6131,Africa,211028,1001,210.82
145,Saudi Arabia,49176.0,292.0,24.0,45.0,Asia,34268528,2149690,15.94
146,Senegal,2310.0,25.0,14.4974,-14.4524,Africa,16296364,196722,82.84
147,Serbia,10438.0,225.0,44.0165,21.0059,Europe,8772235,88361,99.28
148,Seychelles,11.0,0.0,-4.6796,55.492,Africa,97739,452,216.24
149,Sierra Leone,447.0,27.0,8.4606,-11.7799,Africa,7092113,71740,98.86
150,Singapore,26891.0,21.0,1.2833,103.8333,Asia,5804337,716,8106.62
151,Slovakia,1480.0,27.0,48.669,19.699,Europe,5457013,49037,111.28
152,Slovenia,1465.0,103.0,46.1512,14.9955,Europe,2078654,20273,102.53
153,Somalia,1284.0,53.0,5.1521,46.1996,Africa,15442905,637657,24.22
154,South Africa,13524.0,247.0,-30.5595,22.9375,Africa,58558270,1221037,47.96
155,South Sudan,236.0,4.0,6.877,31.307,Africa,10975927,619745,17.71
156,Spain,230183.0,27459.0,40.0,-4.0,Europe,46736776,505992,92.37
157,Sri Lanka,935.0,9.0,7.0,81.0,Asia,21323733,65610,325.01
158,Sudan,1964.0,91.0,12.8628,30.2176,Africa,42813238,1861484,23.0
159,Suriname,10.0,1.0,3.9193,-56.0278,Americas,581372,163820,3.55
160,Sweden,29207.0,3646.0,63.0,16.0,Europe,10036379,450295,22.29
161,Switzerland,30514.0,1878.0,46.8182,8.2275,Europe,8591365,41284,208.1
162,Syria,50.0,3.0,34.8021,38.9968,Asia,17070135,185180,92.18
163,Taiwan*,440.0,7.0,23.7,121.0,Asia,23773876,36193,656.86
164,Tanzania,509.0,21.0,-6.369,34.8888,Africa,58005463,945087,61.38
165,Thailand,3025.0,56.0,15.0,101.0,Asia,69037513,513120,134.54
166,Timor-Leste,24.0,0.0,-8.8742,125.7275,Asia,1293119,14919,86.68
167,Togo,263.0,11.0,8.6195,0.8248,Africa,8082366,56785,142.33
168,Trinidad and Tobago,116.0,8.0,10.6918,-61.2225,Americas,1394973,5130,271.92
169,Tunisia,1035.0,45.0,34.0,9.0,Africa,11694719,163610,71.48
170,Turkey,146457.0,4055.0,38.9637,35.2433,Asia,83429615,783562,106.47
171,US,1442653.0,87525.0,32.3182,-86.9023,Americas,660004393,13647428,7772.279999999997
172,Uganda,203.0,0.0,1.0,32.0,Africa,44269594,241550,183.27
173,Ukraine,17330.0,476.0,48.3794,31.1656,Europe,43993638,603500,72.9
174,United Arab Emirates,21831.0,210.0,24.0,54.0,Asia,9770529,83600,116.87
175,United Kingdom,238004.0,34078.0,18.2206,-63.0686,Europe,68041425,256671,8535.359999999999
176,Uruguay,732.0,19.0,-32.5228,-55.7658,Americas,3461734,176215,19.64
177,Uzbekistan,2686.0,11.0,41.3775,64.5853,Asia,32981716,447400,73.72
178,Venezuela,459.0,10.0,6.4238,-66.5897,Americas,28515829,916445,31.12
179,Vietnam,314.0,0.0,16.0,108.0,Asia,96462106,331212,291.24
180,West Bank and Gaza,375.0,2.0,31.6,34.8,Asia,5190143,6020,862.15
181,Western Sahara,6.0,0.0,24.2155,-12.8858,Africa,567402,266000,2.13
182,Zambia,654.0,7.0,-15.4167,28.2833,Africa,17861030,752612,23.73
183,Zimbabwe,42.0,4.0,-20.0,30.0,Africa,14645468,390757,37.48
